duration,credit_amount,age,checking_status,employment,savings_status,purpose,target
4.0,601.0,23.0,no checking,<1,<100,furniture/equipment,1
21.0,2288.0,23.0,no checking,<1,<100,furniture/equipment,1
21.0,3160.0,41.0,no checking,>=7,no known savings,radio/tv,1
15.0,3343.0,28.0,no checking,1<=X<4,<100,furniture/equipment,1
13.0,882.0,23.0,0<=X<200,<1,<100,radio/tv,1
12.0,3565.0,37.0,no checking,<1,no known savings,education,1
18.0,3650.0,22.0,<0,<1,<100,furniture/equipment,1
18.0,3780.0,35.0,no checking,<1,<100,furniture/equipment,1
6.0,1740.0,30.0,no checking,>=7,<100,radio/tv,1
24.0,1249.0,28.0,no checking,<1,<100,new car,1
33.0,7253.0,35.0,no checking,4<=X<7,<100,used car,1
48.0,15672.0,23.0,0<=X<200,1<=X<4,<100,business,0
15.0,4657.0,30.0,no checking,1<=X<4,<100,used car,1
6.0,660.0,23.0,no checking,4<=X<7,500<=X<1000,repairs,1
6.0,860.0,39.0,<0,>=7,<100,new car,1
40.0,5998.0,27.0,<0,1<=X<4,<100,education,0
36.0,3959.0,30.0,<0,unemployed,<100,furniture/equipment,1
12.0,804.0,38.0,no checking,>=7,<100,radio/tv,1
36.0,3620.0,37.0,<0,1<=X<4,<100,furniture/equipment,1
18.0,1961.0,23.0,>=200,>=7,<100,new car,1
12.0,3124.0,49.0,0<=X<200,<1,<100,new car,1
24.0,1207.0,24.0,<0,<1,<100,new car,0
24.0,4351.0,48.0,0<=X<200,1<=X<4,no known savings,furniture/equipment,1
36.0,2384.0,33.0,0<=X<200,<1,<100,repairs,0
24.0,3488.0,23.0,no checking,4<=X<7,100<=X<500,used car,1
9.0,1337.0,34.0,>=200,<1,<100,radio/tv,0
12.0,1262.0,25.0,no checking,1<=X<4,<100,radio/tv,1
6.0,1198.0,35.0,<0,>=7,<100,education,0
39.0,2569.0,24.0,no checking,1<=X<4,500<=X<1000,used car,1
12.0,1995.0,27.0,0<=X<200,<1,100<=X<500,new car,1
18.0,2779.0,21.0,0<=X<200,1<=X<4,<100,used car,1
48.0,3609.0,27.0,no checking,1<=X<4,<100,business,1
12.0,3590.0,29.0,<0,1<=X<4,<100,furniture/equipment,1
36.0,5711.0,38.0,no checking,>=7,>=1000,used car,1
21.0,5003.0,29.0,no checking,1<=X<4,no known savings,new car,0
12.0,2578.0,55.0,<0,unemployed,<100,furniture/equipment,1
12.0,3399.0,37.0,>=200,>=7,no known savings,radio/tv,1
12.0,2028.0,30.0,0<=X<200,1<=X<4,no known savings,used car,1
30.0,4221.0,28.0,0<=X<200,1<=X<4,<100,business,1
18.0,1149.0,46.0,no checking,1<=X<4,>=1000,radio/tv,1
10.0,2848.0,32.0,no checking,1<=X<4,100<=X<500,used car,1
24.0,2828.0,22.0,<0,1<=X<4,500<=X<1000,furniture/equipment,1
12.0,639.0,30.0,0<=X<200,1<=X<4,<100,repairs,0
4.0,1494.0,29.0,>=200,<1,no known savings,new car,1
24.0,9277.0,48.0,no checking,1<=X<4,no known savings,used car,1
48.0,4308.0,24.0,<0,<1,<100,business,0
6.0,1169.0,67.0,<0,>=7,no known savings,radio/tv,1
9.0,1224.0,30.0,no checking,1<=X<4,<100,new car,1
24.0,1278.0,36.0,no checking,>=7,<100,radio/tv,1
21.0,2923.0,28.0,>=200,1<=X<4,100<=X<500,new car,1
39.0,14179.0,30.0,<0,4<=X<7,no known savings,furniture/equipment,1
18.0,1913.0,36.0,0<=X<200,<1,>=1000,business,1
9.0,3195.0,33.0,0<=X<200,1<=X<4,no known savings,new car,1
24.0,1287.0,37.0,no checking,>=7,>=1000,new car,1
15.0,1444.0,23.0,0<=X<200,<1,no known savings,radio/tv,1
21.0,1602.0,30.0,<0,>=7,<100,new car,1
18.0,1950.0,34.0,no checking,4<=X<7,<100,business,1
24.0,915.0,29.0,<0,>=7,no known savings,new car,0
18.0,2404.0,26.0,no checking,1<=X<4,<100,radio/tv,1
24.0,3757.0,62.0,no checking,>=7,<100,new car,1
12.0,682.0,51.0,no checking,4<=X<7,100<=X<500,new car,1
18.0,3850.0,27.0,no checking,4<=X<7,<100,used car,1
36.0,1953.0,61.0,0<=X<200,>=7,<100,business,0
36.0,11054.0,30.0,no checking,1<=X<4,no known savings,used car,1
10.0,1309.0,27.0,no checking,1<=X<4,no known savings,new car,0
21.0,5248.0,26.0,no checking,1<=X<4,no known savings,used car,1
12.0,951.0,27.0,0<=X<200,<1,100<=X<500,furniture/equipment,0
18.0,1880.0,32.0,<0,4<=X<7,<100,radio/tv,1
18.0,3590.0,40.0,0<=X<200,unemployed,<100,business,1
24.0,4736.0,25.0,0<=X<200,<1,<100,furniture/equipment,0
24.0,2384.0,64.0,<0,>=7,<100,radio/tv,1
6.0,1323.0,28.0,>=200,>=7,100<=X<500,new car,1
21.0,2606.0,28.0,<0,<1,<100,radio/tv,1
12.0,2141.0,35.0,no checking,4<=X<7,100<=X<500,radio/tv,1
24.0,6615.0,75.0,<0,unemployed,<100,used car,1
36.0,10875.0,45.0,no checking,>=7,<100,new car,1
28.0,2743.0,29.0,no checking,>=7,<100,radio/tv,1
12.0,1282.0,20.0,<0,1<=X<4,<100,furniture/equipment,0
30.0,8386.0,49.0,0<=X<200,4<=X<7,<100,furniture/equipment,0
12.0,1289.0,21.0,<0,1<=X<4,<100,furniture/equipment,1
36.0,3595.0,28.0,no checking,>=7,<100,radio/tv,1
24.0,1559.0,50.0,no checking,4<=X<7,<100,business,1
15.0,1300.0,45.0,no checking,>=7,no known savings,used car,1
18.0,1049.0,21.0,<0,<1,<100,furniture/equipment,1
18.0,8471.0,23.0,<0,1<=X<4,no known savings,education,1
36.0,4455.0,30.0,0<=X<200,1<=X<4,<100,business,0
16.0,1175.0,68.0,0<=X<200,unemployed,<100,new car,1
30.0,7596.0,63.0,no checking,>=7,no known savings,used car,1
6.0,1346.0,42.0,no checking,>=7,100<=X<500,radio/tv,1
12.0,1567.0,22.0,0<=X<200,1<=X<4,<100,radio/tv,1
24.0,1585.0,40.0,no checking,4<=X<7,<100,furniture/equipment,1
12.0,2012.0,61.0,no checking,4<=X<7,no known savings,education,1
12.0,741.0,22.0,<0,unemployed,100<=X<500,domestic appliance,0
15.0,950.0,33.0,<0,>=7,<100,new car,0
60.0,6288.0,42.0,0<=X<200,1<=X<4,<100,education,0
24.0,2325.0,32.0,<0,4<=X<7,100<=X<500,new car,1
47.0,10722.0,35.0,<0,<1,<100,new car,1
30.0,1908.0,66.0,>=200,>=7,<100,business,0
24.0,3512.0,38.0,0<=X<200,4<=X<7,100<=X<500,new car,1
36.0,2712.0,41.0,<0,>=7,<100,furniture/equipment,0
6.0,932.0,24.0,no checking,1<=X<4,<100,radio/tv,1
48.0,10222.0,37.0,no checking,4<=X<7,no known savings,radio/tv,1
30.0,4583.0,32.0,<0,1<=X<4,<100,furniture/equipment,1
12.0,626.0,24.0,<0,1<=X<4,<100,radio/tv,0
9.0,1919.0,35.0,0<=X<200,4<=X<7,<100,furniture/equipment,1
9.0,1670.0,22.0,0<=X<200,<1,<100,radio/tv,0
12.0,1264.0,57.0,no checking,>=7,no known savings,business,1
18.0,3422.0,47.0,no checking,>=7,<100,furniture/equipment,1
24.0,1823.0,30.0,<0,unemployed,<100,radio/tv,0
24.0,7814.0,38.0,no checking,4<=X<7,<100,used car,1
24.0,1965.0,42.0,0<=X<200,1<=X<4,no known savings,new car,1
24.0,2028.0,30.0,no checking,4<=X<7,<100,furniture/equipment,1
48.0,14421.0,25.0,0<=X<200,1<=X<4,<100,business,0
36.0,2323.0,24.0,0<=X<200,4<=X<7,<100,radio/tv,1
24.0,1193.0,29.0,<0,unemployed,<100,new car,0
11.0,2142.0,28.0,no checking,>=7,>=1000,business,1
24.0,2964.0,49.0,<0,>=7,no known savings,used car,1
12.0,1386.0,26.0,no checking,1<=X<4,500<=X<1000,new car,0
12.0,717.0,52.0,no checking,>=7,<100,radio/tv,1
11.0,1577.0,20.0,0<=X<200,<1,>=1000,furniture/equipment,1
9.0,936.0,52.0,no checking,>=7,500<=X<1000,education,1
9.0,1154.0,37.0,0<=X<200,>=7,<100,radio/tv,1
12.0,5801.0,49.0,no checking,>=7,no known savings,furniture/equipment,1
12.0,795.0,53.0,<0,<1,<100,education,0
30.0,2333.0,30.0,no checking,>=7,500<=X<1000,radio/tv,1
18.0,1453.0,26.0,no checking,<1,<100,radio/tv,1
30.0,3108.0,31.0,<0,<1,<100,furniture/equipment,0
27.0,3416.0,27.0,<0,1<=X<4,<100,radio/tv,1
11.0,3905.0,36.0,<0,1<=X<4,<100,new car,1
24.0,1275.0,36.0,>=200,1<=X<4,>=1000,business,1
15.0,1360.0,31.0,no checking,1<=X<4,<100,radio/tv,1
6.0,2116.0,41.0,>=200,1<=X<4,<100,furniture/equipment,1
12.0,3527.0,45.0,no checking,<1,no known savings,new car,1
4.0,3380.0,37.0,no checking,4<=X<7,<100,new car,1
12.0,1893.0,29.0,<0,1<=X<4,<100,new car,1
6.0,518.0,29.0,no checking,1<=X<4,<100,radio/tv,1
36.0,2671.0,50.0,0<=X<200,1<=X<4,100<=X<500,radio/tv,0
12.0,684.0,40.0,<0,1<=X<4,<100,education,0
18.0,1473.0,39.0,no checking,<1,<100,radio/tv,1
21.0,3414.0,26.0,<0,<1,<100,education,0
15.0,6850.0,34.0,0<=X<200,unemployed,100<=X<500,new car,0
48.0,6560.0,24.0,0<=X<200,4<=X<7,100<=X<500,new car,0
18.0,4297.0,40.0,0<=X<200,>=7,<100,furniture/equipment,0
42.0,9283.0,55.0,0<=X<200,unemployed,<100,used car,1
8.0,1164.0,51.0,<0,>=7,<100,other,1
9.0,1364.0,59.0,<0,4<=X<7,<100,radio/tv,1
36.0,8335.0,47.0,<0,>=7,no known savings,used car,0
36.0,2746.0,31.0,<0,>=7,<100,furniture/equipment,0
12.0,1474.0,33.0,>=200,<1,<100,furniture/equipment,1
48.0,3844.0,34.0,0<=X<200,4<=X<7,100<=X<500,business,0
30.0,11998.0,34.0,<0,<1,<100,repairs,0
10.0,1275.0,23.0,>=200,<1,<100,furniture/equipment,1
24.0,947.0,38.0,>=200,4<=X<7,<100,new car,0
48.0,3914.0,38.0,no checking,1<=X<4,no known savings,business,0
12.0,900.0,23.0,<0,1<=X<4,no known savings,new car,0
12.0,1934.0,26.0,no checking,>=7,<100,radio/tv,1
42.0,7882.0,45.0,<0,4<=X<7,<100,furniture/equipment,1
24.0,2611.0,46.0,no checking,>=7,<100,radio/tv,1
20.0,6468.0,60.0,0<=X<200,unemployed,no known savings,used car,1
12.0,2969.0,25.0,0<=X<200,<1,<100,furniture/equipment,0
24.0,8648.0,27.0,no checking,<1,<100,business,0
6.0,1236.0,50.0,no checking,1<=X<4,500<=X<1000,used car,1
12.0,766.0,66.0,0<=X<200,1<=X<4,500<=X<1000,radio/tv,0
8.0,1237.0,24.0,0<=X<200,1<=X<4,<100,furniture/equipment,0
60.0,6527.0,34.0,no checking,1<=X<4,no known savings,new car,1
36.0,10974.0,26.0,no checking,unemployed,<100,furniture/equipment,0
10.0,7308.0,70.0,0<=X<200,unemployed,<100,new car,1
24.0,2397.0,35.0,no checking,>=7,500<=X<1000,radio/tv,0
21.0,2767.0,61.0,0<=X<200,>=7,100<=X<500,business,0
12.0,841.0,23.0,0<=X<200,4<=X<7,100<=X<500,business,1
9.0,1206.0,25.0,0<=X<200,>=7,<100,radio/tv,1
36.0,1819.0,37.0,no checking,1<=X<4,<100,education,0
18.0,1098.0,65.0,no checking,unemployed,<100,radio/tv,1
15.0,3186.0,20.0,no checking,4<=X<7,>=1000,new car,1
18.0,4594.0,32.0,no checking,<1,<100,radio/tv,1
9.0,2030.0,24.0,0<=X<200,4<=X<7,no known savings,furniture/equipment,1
24.0,1967.0,20.0,0<=X<200,>=7,<100,radio/tv,1
6.0,931.0,32.0,0<=X<200,<1,100<=X<500,new car,0
12.0,958.0,47.0,0<=X<200,4<=X<7,<100,new car,1
28.0,4006.0,45.0,<0,1<=X<4,<100,new car,0
12.0,1274.0,37.0,<0,<1,<100,new car,0
24.0,1597.0,54.0,no checking,>=7,<100,education,1
9.0,1366.0,22.0,<0,<1,<100,radio/tv,0
18.0,4165.0,36.0,no checking,1<=X<4,<100,business,0
36.0,9398.0,28.0,0<=X<200,<1,<100,used car,0
6.0,426.0,39.0,no checking,>=7,<100,radio/tv,1
6.0,609.0,37.0,<0,4<=X<7,<100,new car,1
39.0,4933.0,25.0,0<=X<200,4<=X<7,<100,radio/tv,0
15.0,1979.0,35.0,no checking,>=7,no known savings,radio/tv,1
18.0,629.0,32.0,no checking,>=7,500<=X<1000,radio/tv,1
7.0,2415.0,34.0,0<=X<200,1<=X<4,<100,radio/tv,1
18.0,2462.0,22.0,<0,1<=X<4,<100,furniture/equipment,0
18.0,1800.0,24.0,no checking,1<=X<4,<100,radio/tv,1
45.0,11816.0,29.0,<0,>=7,<100,business,0
10.0,2146.0,23.0,no checking,<1,<100,furniture/equipment,1
6.0,1898.0,34.0,no checking,1<=X<4,no known savings,radio/tv,1
12.0,776.0,28.0,no checking,1<=X<4,<100,radio/tv,1
36.0,3249.0,39.0,<0,4<=X<7,<100,new car,1
24.0,6419.0,44.0,<0,>=7,<100,used car,1
24.0,1216.0,38.0,0<=X<200,<1,100<=X<500,radio/tv,0
24.0,4151.0,35.0,no checking,1<=X<4,100<=X<500,furniture/equipment,1
24.0,2603.0,28.0,no checking,1<=X<4,>=1000,used car,1
21.0,1835.0,25.0,<0,1<=X<4,<100,radio/tv,0
36.0,7127.0,23.0,no checking,<1,<100,furniture/equipment,0
6.0,1449.0,31.0,0<=X<200,>=7,100<=X<500,business,1
12.0,1680.0,35.0,<0,>=7,500<=X<1000,radio/tv,1
12.0,2171.0,29.0,no checking,<1,<100,radio/tv,1
12.0,836.0,23.0,0<=X<200,<1,100<=X<500,new car,0
36.0,2337.0,36.0,0<=X<200,>=7,<100,radio/tv,1
13.0,2101.0,23.0,0<=X<200,<1,<100,radio/tv,1
48.0,8358.0,30.0,0<=X<200,<1,500<=X<1000,new car,1
48.0,10961.0,27.0,0<=X<200,4<=X<7,>=1000,radio/tv,0
18.0,1055.0,30.0,no checking,<1,<100,new car,1
60.0,10366.0,42.0,no checking,>=7,<100,new car,1
30.0,2150.0,24.0,0<=X<200,1<=X<4,<100,new car,0
10.0,781.0,63.0,>=200,>=7,<100,new car,1
18.0,1131.0,33.0,<0,unemployed,<100,furniture/equipment,0
24.0,2463.0,27.0,no checking,4<=X<7,100<=X<500,new car,1
48.0,4788.0,26.0,<0,4<=X<7,<100,used car,1
10.0,1418.0,35.0,no checking,1<=X<4,100<=X<500,new car,1
12.0,3017.0,34.0,0<=X<200,<1,<100,furniture/equipment,1
30.0,3622.0,57.0,<0,>=7,>=1000,furniture/equipment,1
6.0,343.0,27.0,<0,<1,<100,domestic appliance,1
21.0,12680.0,30.0,no checking,>=7,no known savings,new car,0
21.0,1647.0,40.0,<0,1<=X<4,no known savings,new car,0
12.0,1158.0,26.0,0<=X<200,1<=X<4,500<=X<1000,radio/tv,1
6.0,1221.0,27.0,no checking,1<=X<4,no known savings,furniture/equipment,1
12.0,886.0,21.0,no checking,1<=X<4,no known savings,radio/tv,1
15.0,1514.0,22.0,0<=X<200,1<=X<4,100<=X<500,repairs,1
12.0,685.0,25.0,0<=X<200,4<=X<7,<100,new car,0
48.0,7119.0,53.0,<0,1<=X<4,<100,furniture/equipment,0
24.0,2892.0,51.0,>=200,>=7,<100,furniture/equipment,1
12.0,1858.0,22.0,<0,<1,<100,furniture/equipment,1
18.0,1301.0,32.0,0<=X<200,>=7,<100,radio/tv,1
24.0,3863.0,32.0,no checking,1<=X<4,<100,business,1
42.0,4370.0,26.0,<0,4<=X<7,<100,radio/tv,0
27.0,8613.0,27.0,no checking,1<=X<4,>=1000,used car,1
26.0,7966.0,30.0,0<=X<200,<1,<100,used car,1
6.0,1299.0,74.0,>=200,1<=X<4,<100,new car,1
9.0,1082.0,27.0,0<=X<200,>=7,<100,radio/tv,1
12.0,2930.0,27.0,0<=X<200,4<=X<7,<100,radio/tv,1
12.0,1318.0,54.0,0<=X<200,>=7,>=1000,new car,1
12.0,2445.0,26.0,no checking,<1,no known savings,used car,1
24.0,1382.0,26.0,<0,4<=X<7,100<=X<500,business,1
30.0,3441.0,21.0,0<=X<200,1<=X<4,100<=X<500,furniture/equipment,0
18.0,1239.0,61.0,0<=X<200,1<=X<4,no known savings,education,1
12.0,902.0,21.0,<0,4<=X<7,<100,retraining,0
24.0,1474.0,33.0,no checking,<1,100<=X<500,new car,1
12.0,1101.0,27.0,no checking,1<=X<4,<100,new car,1
20.0,6148.0,31.0,0<=X<200,>=7,100<=X<500,used car,1
24.0,4042.0,43.0,no checking,4<=X<7,no known savings,used car,1
6.0,448.0,23.0,<0,<1,<100,education,0
24.0,1525.0,34.0,no checking,4<=X<7,>=1000,new car,1
36.0,9566.0,31.0,no checking,1<=X<4,<100,radio/tv,1
30.0,5954.0,38.0,no checking,4<=X<7,<100,radio/tv,1
60.0,13756.0,63.0,no checking,>=7,no known savings,new car,1
30.0,3077.0,40.0,no checking,>=7,no known savings,radio/tv,1
24.0,3617.0,20.0,>=200,>=7,no known savings,furniture/equipment,1
12.0,2579.0,33.0,<0,<1,<100,new car,0
12.0,1155.0,40.0,0<=X<200,>=7,<100,radio/tv,1
12.0,7865.0,53.0,<0,>=7,<100,furniture/equipment,0
24.0,1987.0,21.0,<0,1<=X<4,<100,radio/tv,0
11.0,1393.0,35.0,no checking,<1,<100,new car,1
18.0,3104.0,31.0,<0,4<=X<7,<100,business,1
24.0,5507.0,44.0,no checking,>=7,<100,repairs,1
12.0,701.0,40.0,<0,1<=X<4,<100,radio/tv,1
24.0,2223.0,52.0,no checking,>=7,100<=X<500,radio/tv,1
24.0,1553.0,23.0,0<=X<200,4<=X<7,100<=X<500,radio/tv,1
12.0,1412.0,29.0,no checking,1<=X<4,<100,business,1
24.0,937.0,27.0,no checking,<1,<100,retraining,1
24.0,1552.0,32.0,no checking,4<=X<7,<100,radio/tv,1
12.0,1402.0,37.0,no checking,4<=X<7,500<=X<1000,furniture/equipment,1
12.0,1223.0,46.0,0<=X<200,>=7,<100,new car,0
10.0,2210.0,25.0,no checking,1<=X<4,<100,furniture/equipment,0
12.0,1297.0,23.0,>=200,1<=X<4,<100,radio/tv,1
18.0,4380.0,35.0,<0,1<=X<4,100<=X<500,new car,1
27.0,2528.0,32.0,0<=X<200,<1,<100,business,1
18.0,6458.0,39.0,no checking,>=7,<100,new car,0
42.0,7174.0,30.0,<0,4<=X<7,no known savings,radio/tv,0
21.0,2993.0,28.0,no checking,1<=X<4,<100,used car,1
27.0,2442.0,43.0,<0,>=7,<100,business,1
15.0,1271.0,39.0,>=200,1<=X<4,no known savings,radio/tv,0
60.0,6836.0,63.0,<0,>=7,<100,business,0
24.0,2896.0,29.0,0<=X<200,<1,100<=X<500,radio/tv,1
22.0,2675.0,40.0,no checking,>=7,500<=X<1000,radio/tv,1
4.0,1503.0,42.0,no checking,4<=X<7,<100,radio/tv,1
24.0,2032.0,60.0,no checking,>=7,<100,new car,1
14.0,8978.0,45.0,<0,>=7,<100,new car,0
18.0,1943.0,23.0,no checking,<1,<100,repairs,0
24.0,1258.0,25.0,no checking,4<=X<7,<100,business,1
18.0,6761.0,68.0,no checking,1<=X<4,no known savings,new car,0
36.0,7855.0,25.0,no checking,1<=X<4,<100,new car,0
36.0,9271.0,24.0,<0,4<=X<7,<100,new car,0
24.0,1381.0,35.0,<0,1<=X<4,no known savings,new car,0
15.0,3029.0,33.0,no checking,4<=X<7,<100,used car,1
9.0,2697.0,32.0,no checking,1<=X<4,<100,radio/tv,1
36.0,2145.0,24.0,<0,4<=X<7,<100,business,0
7.0,846.0,36.0,no checking,>=7,no known savings,radio/tv,1
12.0,2073.0,28.0,no checking,1<=X<4,100<=X<500,radio/tv,1
12.0,1372.0,36.0,<0,4<=X<7,<100,new car,0
